epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.48,1.71333,1.50476,0.00341,0.87547,0.8634,0.92681,0.58925,1.27275,0.57091,0.00259,0.000255398,0.000255398,0.000255398
2,204.351,1.3809,0.61102,0.00254,0.95661,0.92178,0.97117,0.66332,1.13328,0.43925,0.00221,0.000503288,0.000503288,0.000503288
3,289.678,1.31986,0.53995,0.00237,0.95837,0.93848,0.97645,0.6788,1.09472,0.39952,0.00214,0.000742718,0.000742718,0.000742718
4,377.815,1.256,0.50396,0.00224,0.96646,0.93768,0.98141,0.70386,1.05003,0.39429,0.00205,0.000730935,0.000730935,0.000730935
5,464.998,1.21975,0.48233,0.00213,0.95914,0.94947,0.98302,0.70405,1.02748,0.36468,0.00196,0.000718246,0.000718246,0.000718246
6,551.515,1.20036,0.46179,0.00209,0.97331,0.95103,0.98287,0.71397,1.01172,0.37284,0.00194,0.000705558,0.000705558,0.000705558
7,636.814,1.17594,0.44969,0.00207,0.97277,0.95067,0.9858,0.72174,1.00076,0.35126,0.00191,0.000692869,0.000692869,0.000692869
8,723.012,1.1708,0.44866,0.00202,0.96446,0.95699,0.98491,0.72149,1.01163,0.348,0.00194,0.000680181,0.000680181,0.000680181
9,808.898,1.14419,0.4386,0.00199,0.9774,0.96369,0.98695,0.72652,0.97678,0.33973,0.00182,0.000667492,0.000667492,0.000667492
10,894.795,1.13384,0.42775,0.00197,0.97481,0.95969,0.98742,0.74182,0.94013,0.32303,0.00179,0.000654804,0.000654804,0.000654804
11,984.376,1.11712,0.41963,0.00192,0.97204,0.95783,0.98688,0.72986,0.97492,0.33717,0.00183,0.000642115,0.000642115,0.000642115
12,1072.53,1.12525,0.42505,0.00192,0.97925,0.96444,0.9872,0.73796,0.96319,0.33241,0.00189,0.000629427,0.000629427,0.000629427
13,1161.15,1.10453,0.40845,0.00189,0.97733,0.96086,0.98748,0.74376,0.93392,0.32841,0.00172,0.000616738,0.000616738,0.000616738
14,1248.99,1.1032,0.41414,0.00191,0.97656,0.96612,0.9883,0.74955,0.92253,0.32332,0.0017,0.00060405,0.00060405,0.00060405
15,1335.58,1.09767,0.40615,0.00186,0.98336,0.95435,0.9876,0.75073,0.91636,0.31907,0.00171,0.000591361,0.000591361,0.000591361
16,1421.57,1.09331,0.40829,0.00186,0.98277,0.96409,0.98859,0.75067,0.92704,0.31668,0.00171,0.000578672,0.000578672,0.000578672
17,1506.4,1.06991,0.39432,0.00181,0.97716,0.96837,0.98576,0.74773,0.92067,0.30863,0.00169,0.000565984,0.000565984,0.000565984
18,1591.66,1.06462,0.39463,0.0018,0.98506,0.96692,0.99036,0.75311,0.90382,0.31366,0.00166,0.000553296,0.000553296,0.000553296
19,1677.89,1.0631,0.38952,0.00179,0.9783,0.97372,0.98899,0.75263,0.92072,0.3059,0.00167,0.000540607,0.000540607,0.000540607
20,1763.15,1.04922,0.37945,0.00178,0.98062,0.97068,0.98878,0.75847,0.90558,0.30636,0.00167,0.000527919,0.000527919,0.000527919
21,1850.92,1.0467,0.38034,0.00178,0.98547,0.96309,0.9892,0.76304,0.88829,0.29211,0.00163,0.00051523,0.00051523,0.00051523
22,1936.4,1.03366,0.37535,0.00176,0.98395,0.96674,0.98854,0.7574,0.89265,0.29759,0.00161,0.000502541,0.000502541,0.000502541
23,2022.68,1.0411,0.37602,0.00175,0.98225,0.9698,0.989,0.7638,0.88881,0.28316,0.00164,0.000489853,0.000489853,0.000489853
24,2110.82,1.03396,0.36591,0.00172,0.98096,0.97135,0.98867,0.75784,0.898,0.29368,0.00163,0.000477165,0.000477165,0.000477165
25,2197.57,1.02945,0.37067,0.00172,0.98663,0.968,0.99219,0.76668,0.89028,0.28563,0.0016,0.000464476,0.000464476,0.000464476
26,2284.48,1.0222,0.36515,0.00172,0.97772,0.9709,0.98885,0.76637,0.8785,0.29636,0.0016,0.000451787,0.000451787,0.000451787
27,2370.16,1.01244,0.3641,0.00172,0.9837,0.96569,0.98894,0.77469,0.85155,0.28739,0.00154,0.000439099,0.000439099,0.000439099
28,2457.1,1.01795,0.35935,0.00168,0.97553,0.97833,0.99096,0.7714,0.85913,0.28537,0.00155,0.000426411,0.000426411,0.000426411
29,2543.31,1.00792,0.36112,0.00169,0.98203,0.9717,0.98953,0.77207,0.85838,0.28103,0.00153,0.000413722,0.000413722,0.000413722
30,2631.87,0.99033,0.35077,0.00166,0.98661,0.96951,0.99252,0.77637,0.85428,0.28221,0.00154,0.000401033,0.000401033,0.000401033
31,2719.38,1.0028,0.35759,0.00167,0.98406,0.97612,0.98979,0.76376,0.88841,0.28577,0.00159,0.000388345,0.000388345,0.000388345
32,2808.25,0.99459,0.35403,0.00167,0.98502,0.97332,0.99194,0.77249,0.85888,0.28395,0.00154,0.000375656,0.000375656,0.000375656
33,2896.38,0.99035,0.35147,0.00162,0.98292,0.97183,0.99035,0.76445,0.8717,0.28255,0.00154,0.000362968,0.000362968,0.000362968
34,2983.63,0.9894,0.3511,0.00164,0.97987,0.97337,0.99002,0.77266,0.85607,0.28102,0.00152,0.00035028,0.00035028,0.00035028
35,3073.16,0.97894,0.3456,0.00163,0.97794,0.97461,0.99084,0.77175,0.85112,0.27593,0.00151,0.000337591,0.000337591,0.000337591
36,3161.46,0.97159,0.34224,0.00161,0.98164,0.97108,0.99226,0.77929,0.84587,0.27256,0.00149,0.000324903,0.000324903,0.000324903
37,3248.54,0.96815,0.3393,0.00161,0.98454,0.97288,0.99117,0.77982,0.83872,0.26997,0.00148,0.000312214,0.000312214,0.000312214
38,3337.54,0.97234,0.34509,0.00158,0.98477,0.97441,0.99294,0.77899,0.84579,0.27672,0.00149,0.000299525,0.000299525,0.000299525
39,3425.02,0.96119,0.33905,0.0016,0.98188,0.97962,0.98959,0.77213,0.86806,0.27699,0.00152,0.000286837,0.000286837,0.000286837
40,3513.15,0.95406,0.33284,0.00155,0.98579,0.97553,0.99067,0.77854,0.84753,0.27322,0.00149,0.000274148,0.000274148,0.000274148
41,3602.29,0.9477,0.33165,0.00155,0.98484,0.97434,0.99221,0.77982,0.84567,0.26746,0.0015,0.00026146,0.00026146,0.00026146
42,3690.12,0.94524,0.33217,0.00155,0.98155,0.98102,0.9916,0.78116,0.83795,0.26957,0.00147,0.000248772,0.000248772,0.000248772
43,3778.56,0.94366,0.32896,0.00153,0.98159,0.9797,0.99095,0.77861,0.8374,0.27,0.00146,0.000236083,0.000236083,0.000236083
44,3866.7,0.94161,0.32753,0.00154,0.98357,0.97655,0.99311,0.77972,0.82757,0.26788,0.00145,0.000223395,0.000223395,0.000223395
45,3953.18,0.94332,0.3294,0.00152,0.98736,0.97924,0.99314,0.78371,0.82876,0.26374,0.00146,0.000210706,0.000210706,0.000210706
46,4042.14,0.93892,0.32497,0.00152,0.98234,0.97967,0.99296,0.78393,0.81879,0.26222,0.00145,0.000198018,0.000198018,0.000198018
47,4128.85,0.93558,0.32481,0.00151,0.98998,0.97226,0.99109,0.78253,0.82692,0.26532,0.00145,0.000185329,0.000185329,0.000185329
48,4216.71,0.92041,0.31709,0.0015,0.98657,0.9776,0.99324,0.78375,0.82202,0.26384,0.00145,0.000172641,0.000172641,0.000172641
49,4303.47,0.92435,0.32162,0.00151,0.98401,0.97527,0.99267,0.78157,0.82445,0.26724,0.00144,0.000159952,0.000159952,0.000159952
50,4389.46,0.91556,0.31941,0.0015,0.98193,0.97827,0.98963,0.78185,0.82066,0.26842,0.00143,0.000147264,0.000147264,0.000147264
