epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.27,2.11051,2.59883,0.00693,0.63363,0.40809,0.41244,0.23838,1.62066,1.44695,0.00532,0.000255398,0.000255398,0.000255398
2,209.126,1.81748,1.56914,0.00549,0.58643,0.51479,0.5231,0.32029,1.49769,1.14076,0.00488,0.000503288,0.000503288,0.000503288
3,297.569,1.73613,1.40074,0.00518,0.6124,0.55363,0.57083,0.34687,1.45305,1.03306,0.00469,0.000742718,0.000742718,0.000742718
4,386.366,1.70268,1.33872,0.00505,0.63414,0.56489,0.57277,0.35323,1.44513,1.02337,0.00467,0.000730935,0.000730935,0.000730935
5,474.335,1.68737,1.29835,0.00497,0.62577,0.56235,0.58117,0.35938,1.41741,1.00081,0.00456,0.000718246,0.000718246,0.000718246
6,563.913,1.63783,1.23476,0.00476,0.65079,0.59602,0.60768,0.37572,1.41277,0.92312,0.0046,0.000705558,0.000705558,0.000705558
7,652.303,1.62106,1.20669,0.00472,0.67453,0.63461,0.64439,0.40738,1.35046,0.87518,0.00429,0.000692869,0.000692869,0.000692869
8,741.847,1.59983,1.16998,0.00463,0.68939,0.63844,0.64846,0.40548,1.36374,0.8686,0.00419,0.000680181,0.000680181,0.000680181
9,830.899,1.57989,1.15854,0.00451,0.70587,0.61921,0.64551,0.40086,1.34767,0.86975,0.00423,0.000667492,0.000667492,0.000667492
10,918.749,1.5735,1.13898,0.0045,0.69264,0.62716,0.65664,0.41863,1.31597,0.85513,0.00421,0.000654804,0.000654804,0.000654804
11,1008.19,1.55077,1.1147,0.00443,0.69346,0.64483,0.64953,0.41981,1.31417,0.83787,0.00397,0.000642115,0.000642115,0.000642115
12,1097.49,1.54117,1.10144,0.00432,0.72617,0.65526,0.68084,0.43698,1.30357,0.79743,0.00407,0.000629427,0.000629427,0.000629427
13,1185.97,1.52342,1.08775,0.00431,0.72974,0.66846,0.67802,0.42333,1.32876,0.8312,0.0041,0.000616738,0.000616738,0.000616738
14,1275.7,1.5164,1.07742,0.00431,0.71524,0.68645,0.70605,0.46213,1.26605,0.76339,0.00368,0.00060405,0.00060405,0.00060405
15,1364.6,1.50967,1.05879,0.0042,0.72952,0.66344,0.68966,0.44841,1.26884,0.76332,0.00387,0.000591361,0.000591361,0.000591361
16,1453.63,1.51149,1.06061,0.00426,0.73157,0.67302,0.70227,0.44987,1.28469,0.76568,0.00383,0.000578672,0.000578672,0.000578672
17,1543.11,1.49911,1.04003,0.00417,0.72789,0.6974,0.71751,0.46702,1.25519,0.76362,0.00367,0.000565984,0.000565984,0.000565984
18,1631.73,1.48308,1.02701,0.00413,0.73386,0.66509,0.69106,0.44768,1.28824,0.77893,0.00397,0.000553296,0.000553296,0.000553296
19,1720.9,1.49056,1.0357,0.00411,0.71738,0.69788,0.7144,0.46497,1.24383,0.73989,0.00379,0.000540607,0.000540607,0.000540607
20,1810.02,1.46259,1.00723,0.00403,0.72286,0.67815,0.69898,0.45993,1.23522,0.74703,0.00371,0.000527919,0.000527919,0.000527919
21,1898.37,1.45295,1.00052,0.00407,0.71505,0.69263,0.71113,0.47275,1.23308,0.72467,0.00372,0.00051523,0.00051523,0.00051523
22,1987.41,1.44297,0.98656,0.00396,0.73694,0.70356,0.72268,0.47893,1.23036,0.7183,0.00363,0.000502541,0.000502541,0.000502541
23,2075.33,1.45996,0.99722,0.00398,0.73197,0.7065,0.72154,0.47647,1.24395,0.72121,0.00362,0.000489853,0.000489853,0.000489853
24,2164.59,1.45148,0.9969,0.00393,0.76005,0.67221,0.70766,0.47093,1.23032,0.71682,0.00377,0.000477165,0.000477165,0.000477165
25,2253.06,1.44957,0.98251,0.0039,0.72636,0.71333,0.71665,0.46745,1.22919,0.73153,0.00375,0.000464476,0.000464476,0.000464476
26,2340.3,1.42898,0.97007,0.0039,0.74729,0.70931,0.73337,0.48798,1.20917,0.70167,0.00348,0.000451787,0.000451787,0.000451787
27,2429.07,1.42165,0.9664,0.00387,0.74002,0.71328,0.73508,0.49198,1.22039,0.7049,0.00347,0.000439099,0.000439099,0.000439099
28,2517.27,1.43332,0.96098,0.0038,0.75445,0.69468,0.73768,0.49832,1.21052,0.70225,0.00349,0.000426411,0.000426411,0.000426411
29,2606.56,1.41401,0.95128,0.00382,0.77136,0.70407,0.74545,0.49946,1.19568,0.69837,0.00341,0.000413722,0.000413722,0.000413722
30,2696.48,1.41876,0.94514,0.00379,0.76381,0.70687,0.73917,0.49882,1.19011,0.68838,0.00338,0.000401033,0.000401033,0.000401033
