"file	dataset	model	epochs	trained"
"yoloWeights_cc1.pt	https://drive.google.com/drive/folders/1wKNxsnokYihhZjXWtV428-BhAWEZ_NVC?usp=sharing	yolo26s.pt	60	yes"
"yoloWeights_cchd1.pt	https://drive.google.com/drive/folders/1QurFAL_cuG9RRbFM2e7zfGGR9coAO2BF?usp=sharing	yolo26s.pt	60	yes"
"yoloWeights_ccs1.pt	https://drive.google.com/drive/folders/1W43C3cYRwW380nyWlpuQ0DsmGDj5AOSr?usp=sharing	yolo26s.pt	60	yes"
"yoloWeights_cc2.pt		yolo26l.pt	60	no"
"yoloWeights_cchd2.pt		yolo26l.pt	60	no"
"yoloWeights_ccs2.pt		yolo26l.pt	60	no"
"				"
"				"
"				"
"				"
"				"
