epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9609,1.93919,4.41782,0.00805,0.03719,0.13039,0.00862,0.00309,2.10962,5.0293,0.01069,1.538e-05,1.538e-05,1.538e-05
2,26.7499,1.95736,4.35289,0.00809,0.03587,0.13039,0.00783,0.00264,2.0962,5.03305,0.01069,3.78156e-05,3.78156e-05,3.78156e-05
3,28.2867,2.00744,4.35856,0.00821,0.04234,0.1343,0.01763,0.00894,2.00841,4.96171,0.01008,5.94898e-05,5.94898e-05,5.94898e-05
4,29.8663,1.71499,4.16975,0.00726,0.04712,0.25961,0.02311,0.01134,1.7953,4.44584,0.00886,8.04028e-05,8.04028e-05,8.04028e-05
5,31.3388,1.46205,3.78514,0.00714,0.46152,0.06436,0.09581,0.06514,1.68256,3.97612,0.00849,0.000100554,0.000100554,0.000100554
6,33.1234,1.53358,3.4405,0.0063,0.06032,0.39973,0.08684,0.05551,1.66565,3.82461,0.00844,0.000119945,0.000119945,0.000119945
7,34.5061,1.451,3.23189,0.00635,0.13332,0.1278,0.11563,0.06855,1.64413,3.6791,0.0081,0.000138574,0.000138574,0.000138574
8,36.0259,1.42433,2.97475,0.00595,0.15181,0.15363,0.11043,0.06161,1.6407,3.6632,0.00812,0.000156442,0.000156442,0.000156442
9,38.2573,1.43198,2.8573,0.00585,0.15159,0.19337,0.15845,0.09525,1.66893,3.48699,0.00833,0.000173548,0.000173548,0.000173548
10,40.3844,1.42755,2.91808,0.00626,0.14586,0.28706,0.18551,0.11433,1.6104,3.49978,0.008,0.000189893,0.000189893,0.000189893
11,42.0187,1.42972,2.70869,0.00612,0.20316,0.36218,0.22713,0.15022,1.5675,3.40947,0.00797,0.000205477,0.000205477,0.000205477
12,43.5986,1.43607,2.50895,0.00592,0.223,0.40682,0.26877,0.17844,1.55017,3.37462,0.0078,0.000220299,0.000220299,0.000220299
13,45.0775,1.40716,2.39756,0.00591,0.23109,0.34966,0.30156,0.19218,1.55528,3.13111,0.00759,0.00023436,0.00023436,0.00023436
