epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1186,2.10236,4.40368,0.0114,0.11095,0.13301,0.07557,0.03322,1.78633,4.20551,0.01114,0.000244127,0.000244127,0.000244127
2,39.1361,1.7718,3.19912,0.01044,0.21628,0.33525,0.20627,0.11069,1.67619,3.26072,0.0104,0.000492203,0.000492203,0.000492203
3,45.6882,1.77186,2.63439,0.01,0.36449,0.44772,0.3547,0.18719,1.69949,2.72403,0.01044,0.000731819,0.000731819,0.000731819
4,52.7966,1.80296,2.22403,0.00957,0.50233,0.41862,0.45648,0.245,1.71813,2.47834,0.0106,0.000730935,0.000730935,0.000730935
5,59.1308,1.74316,2.01912,0.00905,0.54205,0.51192,0.54638,0.29471,1.69237,1.93106,0.01028,0.000718246,0.000718246,0.000718246
6,66.4284,1.69616,1.75273,0.00865,0.62497,0.60456,0.63526,0.34743,1.68752,1.87567,0.0105,0.000705558,0.000705558,0.000705558
7,72.8585,1.70653,1.78751,0.00885,0.64427,0.63413,0.66342,0.38775,1.66375,1.62933,0.01007,0.000692869,0.000692869,0.000692869
8,80.4129,1.67318,1.57402,0.00862,0.72742,0.60498,0.68777,0.41165,1.6831,1.51107,0.01027,0.000680181,0.000680181,0.000680181
9,86.8262,1.71575,1.66314,0.00886,0.75112,0.62201,0.7092,0.41872,1.71521,1.41494,0.01068,0.000667492,0.000667492,0.000667492
10,94.2832,1.62363,1.44501,0.00838,0.69847,0.65631,0.68788,0.40135,1.65096,1.5201,0.00994,0.000654804,0.000654804,0.000654804
11,100.38,1.61588,1.42721,0.00833,0.73803,0.6769,0.75029,0.44832,1.55775,1.38378,0.00947,0.000642115,0.000642115,0.000642115
12,107.926,1.63254,1.43954,0.00823,0.75357,0.63313,0.73874,0.43987,1.60245,1.28805,0.0101,0.000629427,0.000629427,0.000629427
13,114.182,1.6331,1.41841,0.00851,0.78426,0.66688,0.74712,0.42789,1.67918,1.34879,0.01032,0.000616738,0.000616738,0.000616738
14,121.486,1.56094,1.32213,0.00835,0.79736,0.69453,0.76233,0.4718,1.587,1.24906,0.00982,0.00060405,0.00060405,0.00060405
15,127.953,1.57842,1.33259,0.00796,0.81727,0.70331,0.78714,0.48695,1.54966,1.24469,0.0092,0.000591361,0.000591361,0.000591361
