epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0708,2.10236,4.40368,0.0114,0.11095,0.13301,0.07557,0.03322,1.78633,4.20551,0.01114,0.000244127,0.000244127,0.000244127
2,37.5802,1.79588,3.18502,0.0106,0.23886,0.31836,0.20079,0.10179,1.67908,3.37529,0.01045,0.000496332,0.000496332,0.000496332
3,45.0803,1.761,2.70102,0.00992,0.38181,0.41325,0.31848,0.16751,1.67062,2.80547,0.01024,0.000744307,0.000744307,0.000744307
4,51.5401,1.78118,2.2619,0.00941,0.43041,0.5046,0.44359,0.2405,1.78152,2.23738,0.01102,0.000749967,0.000749967,0.000749967
5,59.2216,1.75262,2.02697,0.00909,0.58321,0.47718,0.51682,0.27714,1.71412,1.96977,0.01063,0.000743623,0.000743623,0.000743623
6,65.6102,1.69662,1.77982,0.00863,0.54976,0.5576,0.56532,0.30998,1.672,2.16425,0.01028,0.000737279,0.000737279,0.000737279
7,73.4148,1.71394,1.80188,0.00894,0.66421,0.52748,0.59748,0.349,1.67591,1.67926,0.01031,0.000730935,0.000730935,0.000730935
8,79.8293,1.69561,1.57776,0.00876,0.71213,0.60614,0.69437,0.41259,1.65921,1.38879,0.00991,0.00072459,0.00072459,0.00072459
9,87.4725,1.7067,1.67014,0.00883,0.70451,0.60211,0.69518,0.41144,1.59632,1.41466,0.00972,0.000718246,0.000718246,0.000718246
10,93.8199,1.62723,1.47412,0.00843,0.72089,0.59136,0.68739,0.39589,1.66726,1.40475,0.01,0.000711902,0.000711902,0.000711902
11,101.369,1.61528,1.45989,0.00827,0.71605,0.67203,0.73785,0.43512,1.64195,1.38833,0.00999,0.000705558,0.000705558,0.000705558
12,107.832,1.62376,1.43999,0.00824,0.735,0.66104,0.73405,0.44553,1.67785,1.31672,0.01011,0.000699213,0.000699213,0.000699213
13,115.491,1.63002,1.41635,0.00848,0.8031,0.61512,0.71924,0.41567,1.70754,1.43657,0.01011,0.000692869,0.000692869,0.000692869
14,122.022,1.56638,1.32409,0.00836,0.80786,0.69401,0.77093,0.47925,1.60542,1.30205,0.00962,0.000686525,0.000686525,0.000686525
15,129.807,1.59847,1.36145,0.00806,0.82466,0.67272,0.77597,0.48679,1.53209,1.28554,0.00906,0.000680181,0.000680181,0.000680181
16,136.288,1.56537,1.33428,0.0081,0.80886,0.68126,0.78221,0.47121,1.61799,1.25302,0.00966,0.000673836,0.000673836,0.000673836
17,143.721,1.55687,1.3234,0.00799,0.81394,0.71931,0.79964,0.49717,1.60374,1.34848,0.00963,0.000667492,0.000667492,0.000667492
