epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8416,2.03182,4.53911,0.01107,0.06553,0.32974,0.06822,0.03544,1.75225,4.88517,0.01116,0.000244127,0.000244127,0.000244127
2,43.5193,1.7044,2.87236,0.00991,0.30106,0.36841,0.3098,0.15906,1.60767,3.17464,0.00995,0.000496332,0.000496332,0.000496332
3,62.9275,1.77893,2.33505,0.01014,0.32855,0.41932,0.34438,0.18792,1.72365,2.34257,0.01092,0.000744307,0.000744307,0.000744307
4,76.4375,1.78578,2.07748,0.00951,0.50423,0.43431,0.43331,0.25289,1.73572,2.12839,0.01088,0.000749967,0.000749967,0.000749967
5,89.7268,1.74065,1.82828,0.00911,0.61384,0.62191,0.62648,0.36758,1.65501,1.69902,0.01009,0.000743623,0.000743623,0.000743623
6,103.598,1.67832,1.56658,0.00864,0.64655,0.64892,0.65755,0.35514,1.56757,1.55995,0.00947,0.000737279,0.000737279,0.000737279
7,117.047,1.7526,1.60692,0.00928,0.71187,0.65083,0.71269,0.39545,1.65625,1.44004,0.01012,0.000730935,0.000730935,0.000730935
8,133.116,1.65909,1.38215,0.00864,0.75175,0.72228,0.75322,0.43925,1.58939,1.3034,0.0096,0.00072459,0.00072459,0.00072459
9,152.42,1.70693,1.48314,0.00886,0.79626,0.67154,0.75804,0.45189,1.60079,1.36937,0.00976,0.000718246,0.000718246,0.000718246
10,178.67,1.61804,1.29275,0.00845,0.77258,0.69682,0.73785,0.43108,1.72494,1.48782,0.01054,0.000711902,0.000711902,0.000711902
11,208.038,1.60601,1.28467,0.00822,0.81187,0.75301,0.81288,0.48917,1.63897,1.27011,0.00976,0.000705558,0.000705558,0.000705558
12,264.545,1.61019,1.21142,0.00819,0.82522,0.7308,0.81378,0.50796,1.53308,1.29305,0.00908,0.000699213,0.000699213,0.000699213
13,291.315,1.58448,1.20156,0.00823,0.82915,0.70025,0.80222,0.48655,1.74901,1.40334,0.01083,0.000692869,0.000692869,0.000692869
14,330.302,1.56486,1.1472,0.00837,0.83436,0.77044,0.82535,0.51799,1.59393,1.17758,0.00959,0.000686525,0.000686525,0.000686525
15,357.371,1.58361,1.14606,0.008,0.81521,0.75868,0.82436,0.50904,1.60265,1.16535,0.00959,0.000680181,0.000680181,0.000680181
16,377.514,1.55703,1.19477,0.00812,0.85847,0.76413,0.83042,0.50408,1.59633,1.14081,0.00946,0.000673836,0.000673836,0.000673836
17,397.319,1.52358,1.14281,0.0079,0.88809,0.72841,0.84252,0.50698,1.61544,1.19102,0.00955,0.000667492,0.000667492,0.000667492
18,415.993,1.5008,1.06834,0.00756,0.87536,0.77507,0.83993,0.49846,1.66882,1.1528,0.01017,0.000661148,0.000661148,0.000661148
19,459.164,1.58078,1.23983,0.0088,0.86968,0.76975,0.82332,0.51107,1.63514,1.17999,0.01009,0.000654804,0.000654804,0.000654804
20,475.417,1.60278,1.22964,0.00838,0.86396,0.78188,0.83597,0.51914,1.59474,1.10973,0.00998,0.000648459,0.000648459,0.000648459
